business_id,postal_district,company_category,is_vat_registered
"9739406ef11dbe301614c1e11a964338936bd3df18d6ab7a4197a0150f6d6adb",,"SOLE",0
"8328413235ffabb17899783cd3a631960f046927cb289ce66f70c58ade4d1074",,"PARTNER",0
"19e89263467c6c1c49df9efcc35aee1bd8eb4d6a67bf3c4f15a5cb3fae6a1ffa",,"PARTNER",0
"0df91309d6a229c449bf2ddda9cc0776178fc7717cd5c9ffae8d702fd01280c9",,"LIMITED",1
"65776273c5e1b288f004a90df07d8384179f5e2493ddbe929e334b60f772e13d",,"LIMITED",0
"48d2f4bb3edc8efb8c87ef8e396059017700691b44db5d93bd8051b837a9a348",,"SOLE",0
"ee5c0fad525969afa1752bb3c697da571be93ab4a89566cc5a0ccd586adcd555",,"SOLE",0
"bd4e628f0dacb74fe2e4c9447015338cfe0cc05defd2fcffc8842214f78b9088",,"PARTNER",0
"ed5273fe9a840c3e1c175b68d6752dd54caf37d9a9d2383e16907251a1965e71",,"LIMITED",0
"706d178430b50660e79ba908bcf210441ce59b3ea1591703e8b5c038967375ed",,"LIMITED",0
"96c6e79195d059fcea80caf98ed7d11e37f5a594966fc0e9e9a59bb19aee5448","NE3","PARTNER",0
"305c2e467959168beca41e718ccb5ee33f8f1795c870a041e2b3427d0d920b04","LL20","LIMITED",0
"db9c21613caa51b362f30f2f165d0773639627dbe219250abb8c8d4e1b48e284","HA4","PARTNER",0
"0fb822ea79f38dae5e35d4842a81bf74ee10d7e131c963039683165154f5892e","DT11","SOLE",1
"420979309c28627d25f1cda16cf67582bc3dcefa2a56e4822edd91eebb962d66","DT11","SOLE",0
"f114d44b77897d3173add5ccf6ec75f1318d8c0f15ad6dce77bc17cbe2f54561","CM4","SOLE",0
"b451e6f1c5be3b4331396acc8c0c3b075bfa42f7b4988e14b7c0f67f99b292d3","HA4","SOLE",0
"19c746e73130fe9d5a2f646018d53191cbc0357dc8844f283368942fc64b7203","EX37","PARTNER",0
"dea23921fb51fbe6b98afdd3d6a630d21f31236222d01309db2ed295c5a74580","EX37","SOLE",0
"abb8ceeb934339450fa0f66da6228c2c65853ce890a87597a3ed75cc1b8fca65","NE3","LIMITED",0
"5c63a33a256eb5e56264fee91ad51140072e7547507c1f23c5996d8e5d5b0242","LL20","SOLE",0
"e23dbf85668303efd67a3bb97eefe256c0db89196df3d4d492fed1f15f790d79","HA4","PARTNER",0
"fcda85d46b12d020375d586b89ff2b0c608ecc11e9c878bb6b5c156c4e87475a","EX37","LIMITED",0
"b8821cef06839792c5b5e65f97b75bcc78acae459e88bf6dc53aa3ebceed4564","SW1","PARTNER",0
"283905797b9e55611dec8be4147a62efdac19cd142d061ef8d03f5f9d1183d1d","NE3","LIMITED",1
"4389e0bc56d1682d0daed6501c581afc5f28adef13f66283615ceea77e92a0cb","CM4","SOLE",0
"b78bcbbf58dbf86b6771f63058ae837df1865d5e0bc0ec9bf9d6c215ce3cf73e","SW1","SOLE",0
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e","NE3","PARTNER",1
"6855281a658939322212f1f45212b1835e8baa09552cceea8082550ed02a00b4","CM4","PARTNER",1
"1e02d7d908ab16c4dcad5e759b24bce951ae5351253c34d4088592421f4ce007","SW1","LIMITED",1
"8435521a12b57cae5a5adefe6ab14c9525f430ddf6deea5769a3805db31a23d9","AB43","PARTNER",0
"d35fc675857b95225a41cbbb43d4c6089052915b074ae7e20ec843ecd525b1bc","EX37","LIMITED",0
"1899c377cbe5562cd601529fc6fb59e25f53ee7d3d16fbb25949a6edfb2d3fb3","DT11","SOLE",1
"5327dd946b51d71c9d1d2a564192d48d61226f13ab4184231a0422cbd0db4889","HA4","SOLE",1
"bb31c62bf0d6bf3e7d922fbccdaef390a5d778ee7f1d7a994cc4676e7442d495","HA4","LIMITED",1
"c2ca6291f6ddce027649e7e86bcdb38492b91f19d8592fa5bf6ba874629f4c74","NE3","LIMITED",1
"32835c9c367308df45bf886650042712ce4307453c070573c4083ff3960850a0","CM4","SOLE",0
"0c640002fb9731035243530d7cde650d12329158290bd8ade53731b379c016eb","NE3","PARTNER",0
"378a5fffa7c36c199d972753294cba1415faced2be0e7285173df933cc1b7ea2","AB43","SOLE",1
"401805e3b1d0bbeed8928ad5d3263555c1158ab1adeca1d0c8ffedb311e91732","LL20","PARTNER",0
"45f43b72869de671be07cf04c6fe3c2f725e5b94795f868099191731cc3de385","LL20","SOLE",1
"503128a27876056ba897a6f885807418a96cc4208c5570da638b1d1914d96ed1","LL20","LIMITED",0
"26f94507172b370ab2568ef5139e96967703d52d1a981265b61de009771f35b9","CM4","LIMITED",0
"72c385adb7eba56460e76963a65f74c4ac09e4ac4a5f6664dee0e70651c462d2","AB43","PARTNER",0
"2baf57ded8dc232554d0a09bbd2fb31ae1330511de65b0d7e6a3c6262644e6b7","HA4","SOLE",0
"659af215b2be5054ae08831999a41ec41716fd5cf5701d05a46380edd2f3c127","DT11","PARTNER",1
"e61b211c81b3bd47745f160cc928a5057233f2a4c6107770ad66d27a2d847606","CM4","SOLE",0
"ec22227204a6a683f22d4fa8890d218e910f02a7011ecd6f75206de4f54ab09a","EX37","SOLE",0
"ac971ae14058f6ba7fb6ceb2decfef6d95ef7329371d7f9d6e6e49c4770e44d3","AB43","PARTNER",1
"43e57fa7613a31a8098a46def2c02c3e7110777a8c0ac2799f71f5b1853b055e","AB43","SOLE",0
"8d12b6f3f87475ee7197496154682fec844ec63b05836bc978338185e1e54759","SW1","LIMITED",1
"b698c102b3d87c37883c0f91c919f92b5e95684999d8f9fe41489e79eab44a8f","DT11","PARTNER",0
"04b6ba9cd887cdfdef8462fd661dc6120b785ef806e776111ac0dedca70b5efe","AB43","PARTNER",0
"029f4c3a41ed838ac4a439dbfefa316069cef42557f95f7b2aa0ee5694c0676b","DT11","LIMITED",1
"803cd0dc58d423e620db58c05a1e0ca1bd43bbc3bf4c358a400b2f2011ddd506","HA4","PARTNER",0
"dba8deb6e76acb5ddee631be275c5265c5d78b6d60d53f0a9a7b6b85c2db7c11","SW1","LIMITED",1
"0be06b57d61720a78ef32edabeee0241929424811bb84f6d03666ee426c36652","NE3","LIMITED",0
