business_id,contact_id,invoice_id,type,date,due_date,currency,amount,amount_outstanding,tax_amount,payment_status,count_paments,first_payment_date,last_payment_date
"4389e0bc56d1682d0daed6501c581afc5f28adef13f66283615ceea77e92a0cb",14,"46","PURCHASE",2021-06-30,2021-07-20,"EUR",32727.19,27658.82,2964.84,"PART PAID",4,2021-08-08,2021-09-16
"0be06b57d61720a78ef32edabeee0241929424811bb84f6d03666ee426c36652",24,"174","SALE",2024-01-13,2024-02-12,"EUR",33692.22,23454.14,4287.91,"UNPAID",10,2024-01-22,2024-01-31
"5c63a33a256eb5e56264fee91ad51140072e7547507c1f23c5996d8e5d5b0242",1,"321","SALE",2023-05-27,2023-06-16,"GBP",132871.52,41268.43,7204.75,"PAID",0,2023-06-20,2023-07-14
"e23dbf85668303efd67a3bb97eefe256c0db89196df3d4d492fed1f15f790d79",16,"958","PURCHASE",2021-07-21,2021-08-20,"EUR",18372.23,3862.58,6500.34,"PART PAID",5,2021-08-11,2021-09-01
"ac971ae14058f6ba7fb6ceb2decfef6d95ef7329371d7f9d6e6e49c4770e44d3",28,"804","PURCHASE",2020-06-02,2020-06-22,"USD",80377.98,70762.88,2027.19,"PART PAID",4,2020-07-03,2020-08-03
"0be06b57d61720a78ef32edabeee0241929424811bb84f6d03666ee426c36652",24,"70","SALE",2023-11-28,2024-01-27,"NOK",68990.97,57217.04,5878.42,"UNPAID",0,2023-12-14,2023-12-30
"9739406ef11dbe301614c1e11a964338936bd3df18d6ab7a4197a0150f6d6adb",,"864","SALE",2021-02-27,2021-03-29,"EUR",96899.07,13589.50,6703.65,"PART PAID",5,2021-03-11,2021-03-23
"96c6e79195d059fcea80caf98ed7d11e37f5a594966fc0e9e9a59bb19aee5448",31,"705","PURCHASE",2023-02-06,2023-03-08,"EUR",103263.15,68952.66,703.94,"UNPAID",6,2023-02-16,2023-02-26
"f114d44b77897d3173add5ccf6ec75f1318d8c0f15ad6dce77bc17cbe2f54561",1,"99","PURCHASE",2020-04-16,2020-04-26,"GBP",150069.57,88181.72,7517.50,"PART PAID",5,2020-05-23,2020-06-29
"32835c9c367308df45bf886650042712ce4307453c070573c4083ff3960850a0",24,"157","PURCHASE",2020-02-14,2020-05-14,"GBP",32947.20,14005.73,6952.95,"PAID",2,2020-02-15,2020-02-16
"ee5c0fad525969afa1752bb3c697da571be93ab4a89566cc5a0ccd586adcd555",,"308","SALE",2021-06-25,2021-07-15,"USD",120212.15,26550.98,8112.71,"PART PAID",5,2021-07-12,2021-07-29
"19c746e73130fe9d5a2f646018d53191cbc0357dc8844f283368942fc64b7203",,"90","SALE",2020-06-16,2020-06-26,"NOK",39397.48,26402.98,6263.79,"PART PAID",6,2020-07-02,2020-07-18
"305c2e467959168beca41e718ccb5ee33f8f1795c870a041e2b3427d0d920b04",38,"138","SALE",2023-05-15,2023-06-14,"EUR",25336.88,21044.67,9130.15,"PART PAID",1,2023-05-19,2023-05-23
"5c63a33a256eb5e56264fee91ad51140072e7547507c1f23c5996d8e5d5b0242",1,"46","SALE",2020-09-30,2021-01-28,"GBP",121868.47,51196.19,7543.54,"PAID",0,2020-10-21,2020-11-11
"659af215b2be5054ae08831999a41ec41716fd5cf5701d05a46380edd2f3c127",,"958","PURCHASE",2022-01-04,2022-04-04,"NOK",120681.53,21769.47,6434.96,"PAID",5,2022-01-09,2022-01-14
"abb8ceeb934339450fa0f66da6228c2c65853ce890a87597a3ed75cc1b8fca65",2,"541","PURCHASE",2021-11-29,2021-12-09,"USD",63722.74,6581.08,791.67,"PAID",3,2021-12-22,2022-01-14
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",32,"463","SALE",2023-03-24,2023-04-03,"GBP",102720.09,90609.00,4789.55,"UNPAID",2,2023-03-29,2023-04-03
"1899c377cbe5562cd601529fc6fb59e25f53ee7d3d16fbb25949a6edfb2d3fb3",23,"234","PURCHASE",2022-07-16,2022-08-05,"GBP",148434.49,64840.23,1655.35,"PART PAID",8,2022-08-13,2022-09-10
"19c746e73130fe9d5a2f646018d53191cbc0357dc8844f283368942fc64b7203",,"459","PURCHASE",2022-03-01,2022-03-21,"NOK",106633.11,22177.37,7046.40,"PAID",10,2022-03-16,2022-03-31
"96c6e79195d059fcea80caf98ed7d11e37f5a594966fc0e9e9a59bb19aee5448",31,"950","PURCHASE",2022-09-09,2022-09-19,"GBP",166979.43,94039.98,6972.12,"PAID",9,2022-10-11,2022-11-12
"c2ca6291f6ddce027649e7e86bcdb38492b91f19d8592fa5bf6ba874629f4c74",5,"842","SALE",2023-01-25,2023-05-25,"EUR",80464.66,45480.29,9580.78,"PAID",6,2023-02-16,2023-03-10
"45f43b72869de671be07cf04c6fe3c2f725e5b94795f868099191731cc3de385",23,"328","SALE",2022-03-01,2022-03-21,"USD",56516.02,22359.60,1474.05,"UNPAID",10,2022-03-26,2022-04-20
"0fb822ea79f38dae5e35d4842a81bf74ee10d7e131c963039683165154f5892e",21,"532","PURCHASE",2022-06-09,2022-09-07,"USD",76981.12,50963.41,7079.32,"PART PAID",7,2022-07-10,2022-08-10
