business_id,year,month,extract_type,cash,cash_in,cash_out,current_balance,savings_balance,other_credit_available,credit_card_balances,num_of_payments_made,num_of_payments_received
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",-166940211.13,7325506142.18,4951968934.25,2189059123.01,83013670.25,1334395.39,1141774.00,11242.90,6343.64
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",999528356.15,29349948713.33,1955651692.95,1651192457.03,-49511692.26,6553833.69,-4028597.89,11316.20,4884.52
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",1675356380.46,12475514389.12,22174092385.09,2721838380.01,25736567.60,10628467.86,-3242418.13,12883.79,3407.97
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",2010789651.15,13419609069.49,10409841251.92,2184460722.27,-44772620.78,-5232320.17,220281.63,10403.05,7392.19
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",1887698383.43,24845010114.34,7757675817.61,742620427.42,35185745.57,-2694390.88,-4689819.21,14985.30,684.26
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",2775159545.49,30669684133.60,10342383282.30,934377648.90,-26505713.51,-4573832.86,-3585434.98,2432.34,1325.43
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",262562151.04,2906176219.25,16019184861.63,245671601.39,68826622.11,2858868.66,821258.95,5691.97,6078.20
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",1766709984.11,21388392366.27,28730395689.01,1880617965.65,62745063.93,-7633788.85,-6630047.65,8466.09,9810.94
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",1960615444.48,29076507719.08,7770602393.11,2805167712.23,83287548.25,-4631624.57,-5475673.16,6868.32,625.51
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",1868693662.19,25948473684.25,2276648728.62,229014546.89,52900609.54,-1645026.49,-1767337.13,8725.98,5550.09
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",3044094823.63,19064284748.05,27325735100.09,-99320168.64,298017.82,6779058.65,-5492913.38,4057.03,5004.04
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",2270834710.56,26981949652.24,17435083015.27,2612297567.67,81760331.91,-3970403.02,1968120.29,4087.96,9299.09
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",1570911338.70,6998729956.86,22746242923.76,394799133.94,-37431888.19,-3697425.57,1894466.91,14740.71,13033.30
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",1798362545.01,15172086822.81,27853383708.52,2955602730.33,-23276490.23,7619861.75,-7266701.93,6766.21,471.92
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",2267631074.58,8255574638.87,13932047041.85,251465713.92,9123704.46,6504730.83,-3489865.52,15223.50,10979.36
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_CASH",1393113520.44,20194389924.07,12728143845.60,1455937172.76,-48558794.10,8014582.23,-3531826.55,6555.41,12027.07
