business_id,year,month,extract_type,capex,revenue,expenditure,profit,ebitda,overheads,bank_charge_interest_paid,bank_charge_interest_received,total_assets,total_liabilities,net_asset_position,trade_debtors,trade_creditors
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",-57981326.86,135723991046.64,3570223321.14,184210134548.17,201057372966.06,-644618185.22,5876977.87,61175206.58,194715159.47,22903267317.12,7735626156.21,-26095104.96,-1024315451.66
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",-59557718.70,176882657422.10,2980778772.16,169464339400.78,149856894515.25,-1508300996.20,13563703.85,31920012.24,11016039.31,36664570529.21,162200159229.94,1240125544.78,-841907734.62
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",28355816.12,4831032414.55,382568640.11,32811575766.15,67655457610.09,-2121096501.36,48293001.80,35406750.13,253188623.26,16789546490.49,126002571463.55,892757012.34,-1102403278.40
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",218467459.74,138998695710.38,1757817586.43,84641705221.79,28336456673.89,-1989473564.07,2232225.25,1184852.11,40673155.14,31329503529.71,24016313553.85,685297896.28,-950241045.46
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",527825896.86,213995533022.89,3974823433.97,184278804529.31,201070560433.82,-610608824.42,11214894.95,3383206.61,118208280.14,12713084230.90,203550562306.49,1909360259.26,-437275854.02
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",-52814340.69,173207020090.65,3948135331.43,93792562737.19,19195853440.68,-2056541030.77,17534972.17,34373202.35,261340225.58,35280104655.68,12662838635.18,177349860.39,-934316593.35
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",514048912.25,47863243831.40,1188285654.77,72388517592.93,205716438521.04,-707839466.52,42540168.43,24835023.69,35378640.93,3476412246.33,19467432059.80,1878478798.63,-1133871902.12
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",50673371.35,217934430940.07,2967810210.79,2435052395.05,16452415724.07,-1396787021.76,41813217.17,21679743.67,169255668.34,-424820946.81,82604740104.54,548917095.29,-1205806496.28
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",291072439.54,104749417885.67,3676173161.40,59245572179.21,101621264244.40,-332264847.60,8204246.35,61496034.00,75713984.86,26491898354.23,21442463475.54,1449337514.43,-700655183.88
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",312314253.71,128151511365.99,230974827.50,152051611200.70,212577448331.74,-170121615.40,34888666.02,66658156.30,250973873.96,35307308132.92,54840429180.96,1123226429.51,-940700126.34
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",472020501.10,48454604156.87,2324707137.16,108272700662.02,145669419489.21,-1100154435.44,19007675.48,31914248.20,46146333.70,571179945.58,139186556863.11,1998028238.20,264505674.72
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",160726373.05,90756302380.81,850670494.76,213841038776.43,69828486521.93,-908308691.18,23467292.13,44834543.87,68626489.68,17266437176.62,51724240624.53,-256663539.56,-153384590.78
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",252830348.72,112775934738.28,432265451.26,96854984667.66,51889981574.38,-2258511569.75,42491474.13,80332243.81,59984841.26,19022096847.27,4307519366.17,1421114448.10,-713216164.83
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",70998402.25,171682205648.49,3820361976.58,198524679037.28,20317503791.78,-934684238.37,5997127.51,66432479.41,107389520.44,33507240693.29,146674915646.86,-302334679.24,76897029.40
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",-17066614.60,19377265300.09,2020688731.22,7164706167.81,147144381846.12,16507706.11,6782174.84,28584069.95,222972516.62,18017226265.87,-1641628107.06,1000390830.48,-420552990.97
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",401122201.52,36888263537.70,2423254549.06,75662404572.02,119161699522.39,-1376299620.09,43934365.35,80775264.82,35400025.45,40143076822.18,80649603956.95,-372655068.58,-290346056.30
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",-4677026.65,161480776980.91,3478272269.03,17223457800.88,104173478488.21,-1379121574.27,2662669.35,78992525.91,256749398.05,7202293202.67,141266258582.28,-74606510.74,-636212579.66
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",506843933.11,14860874737.59,893427574.37,148386450162.26,215108205868.12,-669975492.23,19108763.17,13521896.95,220585016.51,5042650964.20,151585589197.20,-13087457.45,37473887.22
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",561981621.04,83547979538.57,3920175336.15,120702278030.29,196093957230.14,-2317662496.82,24603982.80,6185050.76,78502841.05,10875153998.59,178392153055.09,1129564480.49,-1113218329.41
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_P&L",456580337.78,49426921331.50,1011419757.52,119502854875.79,23474244588.88,-1160236782.86,40410156.23,56067468.10,71495830.22,10224283081.58,25396865217.11,-26876163.12,-286456391.84
