business_id,year,month,extract_type,total_vat_on_purchases,total_vat_on_sales,total_vat_paid_to_hmrc
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",629831026.78,25386158686.04,9699658.04
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",1382398782.85,16269209245.46,30573821.40
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",1476939055.75,12705600014.16,25788406.46
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",650207292.84,24290506283.65,14113169.39
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",-10378626.49,17046859922.61,-1343014.50
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",1431996896.69,16615993413.40,-12889643.54
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",114332303.29,30614077440.34,29973693.76
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",1336743623.95,16293279858.20,-8002600.20
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",-22063962.17,40751155097.35,41299994.85
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",1228748593.46,5134622228.06,37265280.38
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",1501910789.01,17074317494.43,5316305.20
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",393302551.10,31225706814.59,28365970.71
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",1013520217.48,2719746778.75,31832856.50
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",1166934682.40,7469063095.81,28605722.43
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",1215373962.10,29467395598.58,31113901.43
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",483675892.43,22420461652.77,15028571.14
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",153126625.98,40020054463.19,1386309.52
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",1163194178.89,28822012589.87,2457050.16
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",976997074.31,7847111969.32,43157108.45
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,2,"OBAL_VAT",985546361.40,26580025294.85,29505303.60
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",828117742.41,20682150738.01,-7713582.48
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",835488570.56,26441778754.53,38280805.08
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",1151525666.02,15500205193.63,-10175460.87
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",1446928284.82,9907587448.22,11494123.63
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",1136740464.08,11164964204.56,45633756.06
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",846182310.42,34640415180.46,-824228.39
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",501109702.47,23825309610.28,41483558.96
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",1159143565.18,12410712178.43,39283691.38
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",859695661.84,9802541858.98,31294109.46
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",1843162478.31,28157748002.88,35167704.83
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",876798185.37,15955883899.38,36396350.87
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",115221682.09,41757002041.70,30018598.35
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",731174054.74,11311312515.16,43404523.50
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",1468795620.93,25308200966.73,44978057.29
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",1357214315.80,29482000394.21,5079029.65
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",1116365047.77,7736450639.76,-3991639.36
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",1586920916.28,4652366778.61,7644099.62
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",68962109.11,33890359723.88,36749205.24
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",442940403.32,36602986531.37,30427480.82
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,4,"OBAL_VAT",1424332600.83,21804403064.49,6789469.30
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",-10794588.05,27352868263.14,29417236.45
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1589188006.77,35354006806.35,9788235.48
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1354169231.23,40431484117.79,21314794.48
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1029618417.66,15631198463.06,26846196.01
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",448749902.53,41066964713.76,-4414301.71
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",931133338.76,1104538383.03,15496635.54
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1620142068.69,36705022302.03,11727037.11
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1416256051.82,14844789790.22,41248224.35
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1916187124.72,9470095082.28,-3472985.96
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1095232866.41,18533118765.40,44741039.29
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1715579215.58,39386007743.69,5580787.77
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1609045541.29,31251123884.13,-8492742.79
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",823931551.31,12136930905.52,45289318.00
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",278941896.20,34601177437.36,33711668.45
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1124730116.08,35587089446.60,8967590.41
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1700509805.01,40977182796.60,33249289.46
"0167d2a79ab6e3857073f13be93424be12993d74cb785384a9b7afa241ccb82e",2022,6,"OBAL_VAT",1240897479.03,13509650435.62,22052894.16
